date,temp_max,temp_min,temp_mean,precipitation,rain,precip_hours,windspeed_max,humidity_mean,pressure_mean
2014-01-01,26.5,20.5,22.6,9.6,9.6,7.0,22.9,89,1011.0
2014-01-02,27.9,20.1,23.2,11.3,11.3,11.0,24.0,85,1009.1
2014-01-03,27.0,21.1,23.3,3.2,3.2,6.0,23.8,85,1011.4
2014-01-04,20.4,16.6,18.7,2.8,2.8,11.0,18.9,94,1018.4
2014-01-05,22.8,16.6,19.4,2.2,2.2,10.0,15.9,90,1019.0
2014-01-06,22.3,18.3,19.9,13.8,13.8,15.0,14.0,95,1018.0
2014-01-07,27.1,17.8,21.4,2.2,2.2,2.0,13.4,82,1016.0
2014-01-08,27.8,18.9,22.5,5.5,5.5,7.0,12.3,83,1013.7
2014-01-09,25.4,18.7,21.1,9.2,9.2,10.0,9.3,89,1014.5
2014-01-10,28.5,18.7,22.6,2.1,2.1,2.0,9.0,82,1014.4
2014-01-11,28.7,20.0,23.5,6.6,6.6,7.0,8.9,83,1015.3
2014-01-12,24.8,18.5,21.0,17.9,17.9,14.0,13.0,92,1018.0
2014-01-13,23.1,18.1,20.0,12.4,12.4,17.0,14.0,93,1018.0
2014-01-14,25.0,17.7,20.3,7.6,7.6,6.0,16.4,86,1016.8
2014-01-15,25.3,17.5,20.5,9.7,9.7,7.0,19.1,87,1015.8
2014-01-16,22.7,17.5,19.6,13.2,13.2,10.0,13.6,89,1015.0
2014-01-17,25.5,17.0,20.3,1.8,1.8,7.0,13.4,86,1016.5
2014-01-18,26.2,16.2,20.6,0.0,0.0,0.0,14.1,79,1017.4
2014-01-19,26.9,16.0,21.2,0.0,0.0,0.0,10.2,77,1015.4
2014-01-20,27.5,16.3,21.4,0.0,0.0,0.0,12.6,73,1014.3
2014-01-21,28.0,16.3,22.1,0.2,0.2,2.0,11.8,78,1013.9
2014-01-22,28.9,19.9,23.6,1.3,1.3,2.0,10.9,79,1014.4
2014-01-23,29.2,20.1,23.8,2.2,2.2,2.0,11.5,81,1014.3
2014-01-24,28.5,20.2,23.9,5.4,5.4,4.0,15.1,82,1012.6
2014-01-25,25.9,19.1,21.7,30.1,30.1,15.0,20.4,91,1013.6
2014-01-26,26.8,18.7,21.5,5.0,5.0,13.0,16.8,90,1016.5
2014-01-27,27.9,20.2,23.1,0.7,0.7,4.0,10.9,86,1017.6
2014-01-28,29.3,20.4,24.0,0.3,0.3,1.0,7.6,79,1016.9
2014-01-29,29.6,20.4,24.4,0.0,0.0,0.0,10.5,73,1016.6
2014-01-30,29.7,18.6,24.1,0.0,0.0,0.0,8.4,74,1016.3
2014-01-31,30.2,19.5,24.8,0.0,0.0,0.0,8.3,75,1015.9
2014-02-01,30.8,19.7,25.0,0.0,0.0,0.0,10.8,74,1014.9
2014-02-02,30.6,19.4,24.4,0.0,0.0,0.0,11.2,73,1014.2
2014-02-03,28.5,21.2,24.2,2.7,2.7,4.0,9.4,81,1013.9
2014-02-04,28.8,21.5,24.0,3.9,3.9,4.0,8.7,83,1014.8
2014-02-05,28.8,20.7,24.1,1.5,1.5,3.0,9.0,83,1015.4
2014-02-06,30.5,19.5,24.5,0.0,0.0,0.0,10.8,75,1015.1
2014-02-07,32.6,18.6,25.4,0.0,0.0,0.0,10.4,69,1014.7
2014-02-08,31.0,20.8,25.5,1.4,1.4,4.0,12.4,70,1014.4
2014-02-09,31.1,19.6,25.1,0.1,0.1,1.0,11.4,69,1014.6
2014-02-10,30.3,18.9,24.6,0.0,0.0,0.0,11.6,70,1015.6
2014-02-11,29.9,18.2,23.4,0.0,0.0,0.0,13.5,75,1015.3
2014-02-12,30.1,19.1,24.1,0.2,0.2,1.0,13.6,70,1012.3
2014-02-13,28.2,18.7,22.9,4.2,4.2,8.0,10.4,79,1011.4
2014-02-14,22.2,16.9,19.9,19.9,19.9,17.0,23.4,91,1014.4
2014-02-15,18.7,15.1,16.6,11.0,11.0,20.0,32.4,91,1019.8
2014-02-16,18.5,15.0,16.8,4.0,4.0,16.0,25.2,93,1019.7
2014-02-17,21.5,15.7,18.2,4.2,4.2,16.0,23.2,92,1018.5
2014-02-18,21.3,16.8,18.6,6.2,6.2,19.0,23.4,89,1018.5
2014-02-19,22.5,16.0,18.6,0.4,0.4,4.0,18.1,83,1017.6
2014-02-20,26.1,15.8,20.2,0.0,0.0,0.0,15.5,80,1015.4
2014-02-21,27.1,17.7,21.6,1.4,1.4,4.0,13.7,83,1014.9
2014-02-22,25.0,19.7,21.4,5.8,5.8,14.0,8.7,91,1015.5
2014-02-23,25.1,19.0,21.2,4.6,4.6,11.0,17.8,91,1014.5
2014-02-24,22.8,18.9,20.4,16.4,16.4,14.0,18.9,93,1015.1
2014-02-25,27.3,18.0,21.7,2.7,2.7,3.0,10.7,85,1015.5
2014-02-26,27.6,18.5,22.6,1.2,1.2,6.0,14.8,85,1013.4
2014-02-27,25.1,19.5,21.8,12.5,12.5,15.0,20.4,86,1011.1
2014-02-28,23.0,18.0,19.5,11.1,11.1,12.0,13.3,93,1011.4
2014-03-01,25.1,17.3,20.4,2.0,2.0,6.0,16.2,81,1011.6
2014-03-02,23.9,17.6,19.7,0.4,0.4,3.0,16.0,85,1015.0
2014-03-03,22.1,16.6,18.7,0.0,0.0,0.0,17.7,87,1017.2
2014-03-04,24.3,17.4,19.9,8.2,8.2,14.0,16.4,89,1016.8
2014-03-05,24.0,18.3,20.4,12.4,12.4,10.0,14.1,90,1015.2
2014-03-06,26.0,16.5,20.8,0.4,0.4,2.0,13.7,81,1013.7
2014-03-07,23.4,17.0,19.2,5.1,5.1,8.0,14.4,87,1014.8
2014-03-08,22.9,15.9,18.7,1.5,1.5,6.0,12.0,87,1014.0
2014-03-09,24.4,17.0,19.7,3.4,3.4,5.0,11.6,86,1013.5
2014-03-10,26.9,17.8,21.8,0.0,0.0,0.0,15.0,77,1013.8
2014-03-11,24.4,18.7,20.8,3.8,3.8,9.0,12.4,89,1014.4
2014-03-12,22.0,17.7,19.2,28.6,28.6,16.0,13.0,96,1018.4
2014-03-13,21.9,17.9,19.2,18.1,18.1,19.0,12.5,95,1019.0
2014-03-14,26.0,17.8,21.2,0.6,0.6,1.0,13.8,86,1015.8
2014-03-15,28.0,19.2,22.9,0.5,0.5,1.0,18.8,81,1014.3
2014-03-16,27.0,19.0,22.6,3.8,3.8,5.0,11.5,83,1013.7
2014-03-17,27.6,18.6,22.9,1.4,1.4,6.0,16.7,80,1013.8
2014-03-18,26.6,17.6,21.1,13.4,13.4,11.0,9.2,89,1015.5
2014-03-19,26.7,18.8,21.2,11.6,11.6,7.0,14.1,89,1013.4
2014-03-20,22.1,18.7,19.9,21.1,21.1,17.0,21.8,94,1010.4
2014-03-21,22.5,18.2,19.8,12.6,12.6,8.0,23.5,93,1011.6
2014-03-22,23.8,16.0,19.2,1.7,1.7,6.0,17.2,86,1016.9
2014-03-23,16.9,13.1,15.0,0.1,0.1,1.0,17.7,87,1021.2
2014-03-24,20.7,13.6,16.6,0.0,0.0,0.0,14.1,87,1020.9
2014-03-25,20.5,15.0,17.3,0.3,0.3,3.0,14.8,86,1022.0
2014-03-26,20.9,15.2,17.5,0.7,0.7,6.0,16.0,85,1022.5
2014-03-27,21.7,16.5,18.5,1.9,1.9,11.0,15.0,91,1020.1
2014-03-28,23.1,17.0,19.4,0.1,0.1,1.0,14.5,86,1018.0
2014-03-29,24.6,17.1,20.0,0.0,0.0,0.0,15.1,84,1016.1
2014-03-30,22.5,18.0,19.7,5.3,5.3,11.0,16.3,93,1015.4
2014-03-31,24.8,18.7,20.8,6.9,6.9,8.0,14.8,89,1016.5
2014-04-01,25.2,17.0,20.4,3.9,3.9,12.0,10.6,90,1017.7
2014-04-02,23.5,18.1,19.7,3.1,3.1,8.0,17.7,90,1017.8
2014-04-03,20.9,17.5,18.6,4.1,4.1,15.0,21.7,95,1018.5
2014-04-04,21.9,17.1,18.9,1.9,1.9,11.0,20.6,88,1021.4
2014-04-05,24.1,16.6,19.4,0.0,0.0,0.0,16.2,84,1021.0
2014-04-06,25.6,15.3,20.1,0.0,0.0,0.0,12.4,84,1018.4
2014-04-07,26.1,16.3,20.6,0.0,0.0,0.0,9.4,83,1015.6
2014-04-08,25.4,17.5,21.0,0.2,0.2,1.0,8.9,85,1014.1
2014-04-09,25.8,18.3,21.1,1.0,1.0,2.0,18.6,87,1013.5
2014-04-10,23.4,18.1,20.2,0.7,0.7,3.0,15.1,89,1016.3
2014-04-11,25.0,17.3,20.2,0.0,0.0,0.0,15.1,86,1016.3
2014-04-12,23.1,18.5,20.3,22.5,22.5,13.0,25.5,92,1013.6
2014-04-13,20.7,16.6,18.3,1.5,1.5,8.0,13.2,91,1017.0
2014-04-14,16.4,13.3,15.0,0.0,0.0,0.0,14.7,90,1020.5
2014-04-15,16.9,13.1,14.6,4.4,4.4,6.0,13.8,95,1020.4
2014-04-16,19.1,14.3,16.3,0.2,0.2,2.0,14.1,93,1018.9
2014-04-17,22.0,16.0,18.2,0.5,0.5,3.0,11.5,89,1017.9
2014-04-18,24.8,16.4,19.7,0.5,0.5,2.0,8.6,86,1015.2
2014-04-19,24.0,17.0,19.4,8.7,8.7,10.0,8.3,89,1016.3
2014-04-20,22.2,16.8,18.7,1.1,1.1,7.0,14.3,90,1018.2
2014-04-21,20.7,15.4,17.6,0.0,0.0,0.0,15.3,89,1018.5
2014-04-22,21.5,16.2,18.1,21.3,21.3,15.0,10.0,92,1016.2
2014-04-23,17.9,14.4,16.2,8.1,8.1,10.0,13.8,95,1018.7
2014-04-24,18.1,14.3,15.7,1.2,1.2,8.0,12.9,92,1019.3
2014-04-25,19.2,14.1,15.8,1.5,1.5,7.0,14.8,87,1018.0
2014-04-26,17.0,12.2,14.4,0.8,0.8,5.0,11.7,90,1019.7
2014-04-27,16.9,11.6,13.6,0.2,0.2,2.0,15.6,87,1022.6
2014-04-28,16.4,11.7,13.6,1.2,1.2,7.0,20.1,88,1024.3
2014-04-29,18.8,9.9,13.9,0.0,0.0,0.0,15.1,83,1021.2
2014-04-30,20.0,10.6,15.2,0.0,0.0,0.0,15.3,85,1014.9
2014-05-01,19.8,14.1,16.1,7.6,7.6,6.0,34.4,81,1011.3
2014-05-02,21.4,11.6,16.0,0.0,0.0,0.0,9.6,83,1018.8
2014-05-03,21.6,13.8,16.9,0.0,0.0,0.0,12.1,86,1021.6
2014-05-04,23.8,12.5,17.9,0.0,0.0,0.0,12.8,84,1018.9
2014-05-05,21.6,15.0,17.9,0.9,0.9,6.0,12.8,81,1017.7
2014-05-06,22.6,14.2,17.8,0.4,0.4,2.0,10.2,81,1018.2
2014-05-07,24.0,13.9,18.7,0.0,0.0,0.0,8.2,81,1019.0
2014-05-08,23.0,14.7,18.2,2.1,2.1,3.0,18.7,85,1016.7
2014-05-09,20.1,12.8,16.0,0.4,0.4,2.0,12.8,84,1015.9
2014-05-10,15.9,11.6,13.3,1.4,1.4,8.0,17.4,88,1020.8
2014-05-11,15.9,11.7,13.5,1.8,1.8,11.0,19.6,88,1023.6
2014-05-12,19.4,12.2,14.9,0.0,0.0,0.0,13.8,84,1020.3
2014-05-13,21.5,11.9,16.2,0.0,0.0,0.0,14.1,85,1018.0
2014-05-14,20.3,14.1,16.3,1.4,1.4,3.0,8.2,92,1019.3
2014-05-15,21.2,14.7,17.1,0.2,0.2,1.0,9.7,88,1018.6
